_id,ltable_id,rtable_id,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,id_id_exm,id_id_anm,id_id_lev_dist,id_id_lev_sim,name_name_jac_qgm_3_qgm_3,name_name_cos_dlm_dc0_dlm_dc0,name_name_mel,name_name_lev_dist,name_name_lev_sim,price_price_lev_dist,price_price_lev_sim,price_price_jar,price_price_jwn,price_price_exm,price_price_jac_qgm_3_qgm_3,label
0,730,775,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh,lg 24 ' lds4821ww semi integrated built in white dishwasher lds4821wh xl tall tub cleans up to 16 place settings at once adjustable upper rack lodecibel quiet operation senseclean wash system 4 wash cycles with 3 spray arms multi-level water direction slim direct drive motor semi-integrated electronic control panel white finish,None,lg ldf6920bb fully integrated dishwasher,None,None,0,0.9419354838709677,2.0,0.33333333333333337,0.2804878048780488,0.40451991747794525,0.7334209084510803,41.0,0.4057971014492754,0.0,1.0,1.0,1.0,1,1.0,0
1,670,820,speck seethru clear hard shell case for macbook air mbaclrsee,speck seethru clear hard shell case for macbook air mbaclrsee thin and sleek protective case access to all ports 2-piece snap on clear finish,None,speck products seethru case for apple 13 ' macbook mb13-pnk-see-v2,plastic pink,None,0,0.8170731707317074,2.0,0.33333333333333337,0.30612244897959184,0.4999999999999999,0.8326928019523621,40.0,0.3939393939393939,0.0,1.0,1.0,1.0,1,1.0,0
2,497,239,denon blu-ray disc dvd/cd player dvd3800bdci,denon blu-ray disc dvd/cd player dvd3800bdci 10-bit realta hqv video processor 1080p/24fps output and multi-cadence detection hdmi 1.3 a output with 36-bit deep color support dual 32-bit floating point dsp multi-layered construction with dual-layered top shields and triple-layered bottom suppress vibration hybrid ( s.v.h. ) loader black finish,1999.0,denon dvd-2930ci dvd player dvd2930ci,"dvd + rw , dvd-rw , cd-rw dvd video , dvd audio , sacd , video cd , picture cd , jpeg , wma , pcm , hdcd , mp3 , mpeg-1 , mpeg-2 , mpeg-4 , divx playback 1 disc ( s ) progressive scan black",448.0,0,0.4808853118712274,3.0,0.0,0.3157894736842105,0.3651483716701107,0.8251924514770508,18.0,0.5909090909090908,4.0,0.33333333333333337,0.5777778029441833,0.5777778029441833,0,0.15384615384615385,0
3,644,299,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9343t 3 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,None,panasonic kx-tg1032s dual handset digital cordless phone,1 x phone line ( s ) headset jack silver,61.14,0,0.4642857142857143,3.0,0.0,0.28695652173913044,0.4364357804719848,0.8067380785942078,62.0,0.35416666666666663,5.0,0.0,0.0,0.0,0,0.0,0
4,464,32,sony silver minidv handycam camcorder dcrhc52,sony silver minidv handycam camcorder dcrhc52 680k pixels imager carl zeiss vario-tessar lens 40x optical zoom and 2000x digital zoom 2.5 ' touch panel lcd display super steadyshot image stabilization super nightshot plus technology easy handycam button fader effects manual focus multi-language menu silver finish,None,sony minidv head cleaner dvm12cld,head cleaner,7.95,0,0.06896551724137934,3.0,0.0,0.21212121212121213,0.3651483716701107,0.8351514935493469,25.0,0.4444444444444444,4.0,0.0,0.0,0.0,0,0.0,0
5,855,1061,onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b,"onkyo thx select2 plus certified 7.1 channel home theater black receiver txsr706b 100 watts per channel all discrete circuitry linear optimum gain volume dolby digital plus , dolby truehd and dts-hd decoding hdmi version v1 .3 a repeater dsd processing audyssey dynamic eq accurate speaker distance setting hdmi deep color capable ( 36bit ) analog to hdmi 1080p upconversion faroudja dcdi cinema black finish",None,onkyo tx-nr906 a/v receiver txnr906b,"thx ultra 2 , dolby digital plus , dolby truehd , dts-hd , neural surroundfm , am",1497.99,0,0.8058435438265787,4.0,0.0,0.21052631578947367,0.2581988897471611,0.7342592477798462,54.0,0.33333333333333337,7.0,0.0,0.0,0.0,0,0.0,0
6,671,817,speck seethru pink hard shell case for macbook air mbapnksee,speck seethru pink hard shell case for macbook air mbapnksee thin and sleek protective case access to all ports 2-piece snap on pink finish,None,speck products seethru case for apple 13 ' macbook mb13-clr-see-v2,plastic clear,None,0,0.8212974296205631,3.0,0.0,0.29591836734693877,0.4999999999999999,0.8461818099021912,40.0,0.3939393939393939,0.0,1.0,1.0,1.0,1,1.0,0
7,255,871,whirlpool white front load washer wfw9200swh,whirlpool duet wfw9200sq white front load washer wfw9200swh 4.0 cu . ft. capacity 6th sense technology quiet wash plus noise reduction built-in water heater add-a-garment feature sanitary cycle 4 temperature selections white finish,None,whirlpool 27 ' duet washer horiz axis wp,None,910.91,0,0.2927669345579793,3.0,0.0,0.22535211267605634,0.2886751345948129,0.8263636231422424,25.0,0.43181818181818177,6.0,0.0,0.0,0.0,0,0.0,1
8,328,302,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s,panasonic expandable digital cordless dect 6.0 phone system kxtg1032s up to 17 hours of talk time expandable up to 6 handsets up to 3-way conference capability light-up indicator with ringer/message alert backlit lcd on handset digital speakerphone 16-minute all-digital answering system silver finish,69.0,panasonic kx-tga101s dect 6.0 expansion handset,None,36.04,0,0.9207317073170732,2.0,0.33333333333333337,0.2553191489361702,0.4082482904638631,0.8250159621238708,43.0,0.37681159420289856,3.0,0.4,0.7833333611488342,0.7833333611488342,0,0.0,0
9,345,874,canon eos 40d digital slr camera and 28-135mm lens eos40d28135,"canon eos 40d digital slr camera and 28-135mm lens eos40d28135 10.1 megapixel cmos sensor digic iii image processor auto pop-up , retractable , built-in flash 3.0 ' tft color liquid-crystal monitor af system with 9 cross-type sensors includes 28-135mm lens 1901b017 black finish",None,canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003,"canon eos rebel xs digital slr camera with 10 megapixel , 2.5 ' lcd , 3 frames per sec & live view mode black",461.96,0,0.39473684210526316,3.0,0.0,0.2905982905982906,0.4743416490252569,0.8006914854049683,46.0,0.4831460674157303,6.0,0.0,0.0,0.0,0,0.0,0
